reflector_ip,ip_version,description
65.21.108.153,4,NA
5.161.66.148,4,NA
216.128.149.82,4,NA
108.61.220.16,4,NA
185.243.217.26,4,NA
185.175.56.188,4,NA
176.126.70.119,4,NA
2a01:4f9:c010:5469::1,6,NA
2a01:4ff:f0:2194::1,6,NA
2001:19f0:5c01:1bb6:5400:03ff:febe:3fae,6,NA
2001:19f0:6001:3de9:5400:03ff:febe:3f8e,6,NA
2a03:94e0:ffff:185:243:217:0:26,6,NA
2a0d:5600:30:46::2,6,NA
2a00:1a28:1157:3ef::2,6,NA
